Consistency	Server_Machines	Client_Machines	Number_Of_Clients	Overall_Throughput	Committed_Throughput	updateLatency	readLatency	Failed_Termination_Ratio	Failed_Execution_Ratio	Failed_Read_Ratio	Termination_Timeout_Ratio	Transaction_Execution_Time	Transaction_Termination_Time	Certification_Time
nmsi2	1	2	4	979.4936145579848	978	7.13	3.28	0	0	0	0	3.2108249664	.7729895114	.2742579877
nmsi2	1	2	6	1250.5327781201277	1249	8.04	3.94	0	0	0	0	3.8638654947	.8238590061	.3028289973
nmsi2	1	3	6	1413.28760613187397	1412	7.40	3.41	0	0	0	0	3.3479729493	.7991886734	.5813300013
nmsi2	1	3	9	1799.8766716281312	1798	8.39	4.12	0	0	0	0	4.0522290865	.8511669834	.4044229984
nmsi2	1	4	8	1786.28062652070527	1784	7.70	3.63	0	.0004250250	.0001062538	0	3.5696625113	.8098414987	0
nmsi2	1	4	12	2134.4868805594026	2132	9.19	4.68	0	0	0	0	4.6163401603	.8985369950	0
nmsi2	1	5	10	2077.60235777446742	2074	8.11	3.96	0	0	0	0	3.8960576057	.8265706062	0
nmsi2	1	6	12	2245.01433471533311	2242	8.75	4.46	0	.0004833703	.0001208388	0	4.3934853076	.8587434987	0
nmsi2	1	6	18	2501.17365435005299	2498	10.78	6.27	0	0	0	0	6.2011397679	.9059576491	0
nmsi2	1	6	24	2815.5775497363321	2812	11.33	8.11	0	.0005800853	.0001450172	0	6.5647603670	.9152886668	0
nmsi2	1	7	14	2323.34996657314659	2320	9.44	5.13	0	0	0	0	5.0724053382	.8644338590	0
nmsi2	1	7	21	2642.21233621866545	2639	11.59	7.07	0	0	0	0	6.9935635839	.9078731536	0
nmsi2	1	7	28	2769.54340979209264	2766	13.96	9.26	0	.0003143077	.0000785784	0	9.1892001969	.9382037179	0
