Consistency	Server_Machines	Client_Machines	Number_Of_Clients	Overall_Throughput	Committed_Throughput	updateLatency	readLatency	Failed_Termination_Ratio	Failed_Execution_Ratio	Failed_Read_Ratio	Termination_Timeout_Ratio	Transaction_Execution_Time	Transaction_Termination_Time	Certification_Time
si2	2	2	50	1315.0331635143352	1135	67.50	30.28	.0000289819	.1570659718	.0443964896	0	34.0329341888	32.8212814331	.9179759919
si2	2	2	60	1314.2695137381034	1201	83.79	35.60	.0000437812	.0928759953	.0272863471	0	39.4170360565	40.4817562103	.8137260079
si2	2	2	70	1373.3854225918288	1192	92.82	40.01	.0000287148	.1506115250	.0427081487	0	45.1122932434	47.1618270874	.8867200016
si2	2	2	80	1405.7493708448273	1226	108.71	43.29	.0000629572	.1451467708	.0412502548	0	48.9014377593	60.2714042663	1.0217205286
us	2	2	50	543.65373835949811	543	102.61	88.88	.0000499982	0	0	0	17.5512237548	73.8680229187	.5697785019
us	2	2	60	547.7081167220063	546	121.53	106.04	.0001000025	0	0	0	18.5853080749	90.3624114990	.5797794759
us	2	2	70	552.1445394559371	551	140.34	122.83	.0001000276	.0003501124	.0001093794	0	20.9672136306	105.2206344604	.5787084996
us	2	2	80	560.2523469555294	560	157.86	138.33	.0001250025	.0001300059	.0000406209	0	22.6514158248	119.3923377990	.5673300027
nmsi	2	2	50	1554.375597088366	1553	45.72	28.58	.0000050004	0	0	0	30.3239698410	7.4730088710	4.5580794811
nmsi	2	2	60	1621.7957736901199	1621	52.38	32.91	0	0	0	0	34.9102096557	8.4607577323	2.0909270048
nmsi	2	2	70	1636.9110838251851	1635	61.02	37.93	.0000100032	.0003201633	.0001000942	0	40.3449153900	9.9961934089	2.8998385667
nmsi	2	2	80	1663.5340869165282	1662	67.72	42.92	.0000100030	.0002150755	.0000672349	0	45.5857601165	10.4627037048	3.2910655736
psi	2	2	50	1450.5196795372031	1449	50.58	30.27	.0000099999	0	0	0	32.0981836318	10.1978340148	5.9890310764
psi	2	2	60	1458.0705430464991	1457	59.80	36.28	.0000300058	0	0	0	38.4792518615	11.4885802268	3.0653035044
psi	2	2	70	1505.2477098973542	1504	67.59	40.94	.0000350097	.0002150597	.0000672039	0	43.4477767944	13.2118225097	3.7099725604
psi	2	2	80	1524.3536124633736	1523	76.26	46.11	.0000350086	.0001850409	.0000578440	0	49.0046482086	14.7549581527	4.0917308926
rc	2	2	50	1748.8514888862938	1748	40.52	25.45	0	0	0	0	27.0081119537	6.4323885440	.2735264897
rc	2	2	60	1816.3191852457798	1815	46.44	29.48	0	0	0	0	31.2448587417	7.1782879829	.2809890061
rc	2	2	70	1795.8670112222886	1794	55.00	34.74	0	.0002901367	.0000906807	0	36.9180946350	8.4406914710	.2736754938
rc	2	2	80	1824.5246163622976	1823	61.61	39.09	0	.0001750410	.0000547382	0	41.5272655487	9.2669825553	.2741419970
ser	2	2	50	469.13287974092666	468	116.68	103.73	.0002349494	0	0	0	12.5270690917	93.5775375366	1.1928094625
ser	2	2	60	463.26054936697947	462	141.63	125.96	.0003249318	0	0	0	12.8233294486	116.0642204284	1.2138609886
ser	2	2	70	464.27034196625905	464	163.73	146.87	.0004299718	.0003099801	.0000968855	0	13.3856830596	136.7048034667	1.2241770029
ser	2	2	80	467.23460562729683	466	186.61	166.49	.0004498998	.0002149529	.0000671981	0	13.2383022308	157.0881500244	1.2224659919
